Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
br,lista de compras,lista de compras,,,,,60500,27,0.04,0.82,535000000,Informational,"Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Site Links","0.67,0.55,0.67,0.45,0.45,0.45,0.45,0.45,0.55,0.45,0.45,0.45",20,,
br,lista de compras mercado,lista de compras,,,,,12100,23,0.06,0.81,420000000,Informational,"Image Pack, Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.36,0.36,0.66,0.66,0.66,0.66,0.66,0.54,0.44,0.44,0.66,0.81",20,,
br,lista de compras supermercado,lista de compras,,,,,9900,21,0.04,0.72,108000000,Informational,"Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Site Links","0.54,0.44,0.54,0.44,0.44,0.36,0.54,0.54,0.36,0.36,0.44,0.36",20,,
br,lista de compras completa,lista de compras,,,,,6600,18,0.04,0.90,497000000,Informational,"Image Pack, Site Links, Video, People Also Ask, Related Searches, AI Overview","0.54,0.54,0.66,0.81,0.81,0.66,0.66,0.66,0.66,0.54,0.66,0.54",20,,
br,lista de compra,lista de compras,,,,,5400,26,0.04,0.82,856000000,Informational,"Related Searches, AI Overview, Image Pack, Site Links, Video, Video Carousel, People Also Ask","0.29,0.36,0.36,0.29,0.29,0.36,0.29,0.29,0.29,0.29,0.29,0.24",20,,
br,lista de compras de supermercado,lista de compras,,,,,5400,20,0.04,0.72,103000000,Informational,"Image Pack, Video, People Also Ask, Related Searches, AI Overview","0.54,0.36,0.36,0.24,0.29,0.24,0.24,0.36,0.19,0.24,0.24,0.24",90,,
br,lista de compras do mês,lista de compras,,,,,5400,21,0.05,0.69,501000000,Informational,"Image Pack, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.66,0.66,0.81,0.66,0.54,0.54,0.66,1.00,0.66,0.44,0.54,0.81",90,,
br,lista de compras de mercado,lista de compras,,,,,4400,25,0.06,0.81,421000000,Informational,"Video, Video Carousel, People Also Ask, Related Searches, Image Pack","0.29,0.24,1.00,0.36,0.19,0.19,0.16,0.16,0.12,0.16,0.16,0.24",90,,
br,lista de compras supermercado completa,lista de compras,,,,,4400,17,0.04,0.85,35500000,Informational,"Image Pack, Video, People Also Ask, Related Searches","1.00,0.66,0.81,0.54,0.66,0.66,0.54,0.66,0.54,0.43,0.81,0.54",90,,
br,listas de compras,lista de compras,,,,,1600,27,0.04,0.82,0,Informational,"Image Pack, Video, Related Searches","0.03,0.03,0.07,0.10,0.07,0.02,0.03,0.03,0.03,0.03,0.03,0.02",90,,
br,lista de compra mercado,lista de compras,,,,,1300,26,0.06,0.81,0,Informational,"Image Pack, Video, Video Carousel, Related Searches","0.65,0.65,0.55,0.34,0.65,0.34,0.34,0.34,0.44,0.34,0.44,0.34",90,,
br,lista de compra para casa,lista de compras,,,,,1300,16,0.04,0.84,0,Informational,"Video Carousel, Related Searches, Image Pack, Site Links, Video","0.66,0.79,0.36,0.30,0.41,0.54,0.66,0.66,0.66,0.66,1.00,0.66",20,,
br,lista de compras para casa,lista de compras,,,,,1300,13,0.04,0.84,0,Informational,"Image Pack, Video, Video Carousel, Related Searches","0.44,0.65,0.55,0.44,0.55,0.44,0.44,0.34,0.44,0.55,0.65,0.55",90,,
br,lista de compras basica,lista de compras,,,,,1000,20,0.04,0.63,23400000,Informational,"AI Overview, Image Pack, Site Links, Video, People Also Ask, Related Searches","0.34,0.34,0.34,0.44,0.44,0.34,0.34,0.44,0.24,0.24,0.20,0.24",20,,
br,lista de compras de supermercados completa,lista de compras,,,,,1000,22,0.04,0.85,132,Informational,"Video, Video Carousel, Related Searches, AI Overview","0.03,0.54,0.79,0.30,0.05,0.08,1.00,1.00,0.41,0.13,0.54,0.24",90,,
br,lista completa de compras supermercado,lista de compras,,,,,880,11,0.04,0.85,29000000,Informational,"Related Searches, Image Pack, Video","0.24,0.44,0.29,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.00",90,,
br,lista de compra do mês,lista de compras,,,,,880,15,0.05,0.69,39100000,Informational,"Image Pack, Video, Related Searches, AI Overview","0.54,0.30,0.30,0.24,0.20,0.30,0.30,0.41,0.20,0.79,0.54,1.00",90,,
br,lista de compras para casa nova,lista de compras,,,,,880,16,0.07,0.34,0,Informational,"Image Pack, Site Links, Video, Related Searches","0.54,0.54,0.41,0.36,0.41,0.30,0.30,0.24,0.30,0.20,0.36,0.20",20,,
br,lista de compra de supermercado completa,lista de compras,,,,,720,14,0.04,0.85,48800000,Informational,"Image Pack, Site Links, Video, Related Searches","0.16,0.10,0.13,0.10,0.13,0.13,0.54,0.13,0.20,0.16,0.16,0.10",20,,
br,lista de compras casa nova,lista de compras,,,,,720,10,0.07,0.34,122,Informational,"Image Pack, Site Links, Video, Related Searches","0.36,0.41,0.24,0.24,0.41,0.30,0.24,0.24,0.24,0.20,0.20,0.20",20,,
br,lista de compras simples,lista de compras,,,,,720,24,0.06,0.89,0,Informational,"Image Pack, Site Links, Video, Video Carousel, Related Searches","0.46,0.46,0.46,0.46,0.37,0.31,0.37,0.37,0.25,0.20,0.25,0.25",20,,
br,lista de aniversário o que comprar,lista de compras,,,,,590,7,0.07,0.60,61400000,Informational,"Related Searches, AI Overview, Image Pack, Site Links, Video, Video Carousel","0.81,0.67,0.44,0.29,0.67,0.67,0.67,0.54,0.54,0.36,0.67,0.36",20,,
br,lista de compra completa,lista de compras,,,,,590,13,0.04,0.90,108,Informational,"Video, Related Searches, Image Pack","0.03,0.66,0.07,0.10,0.16,0.27,0.08,0.08,0.16,0.20,0.20,0.13",90,,
br,lista de compras saudavel,lista de compras,,,,,590,12,0.12,0.18,6010000,Informational,"Image Pack, Video, Related Searches, Short Videos, AI Overview","0.30,0.24,0.20,0.20,0.20,0.20,0.20,0.13,0.13,0.07,0.13,0.13",90,,
br,lista de compras supermecado,lista de compras,,,,,590,15,0.04,0.72,53700000,Informational,"Image Pack, Video, Video Carousel, Related Searches","0.39,0.48,0.59,0.48,0.39,0.72,0.72,0.59,0.72,0.26,0.39,0.39",90,,
br,lista de compra de mercado,lista de compras,,,,,480,17,0.06,0.81,0,Informational,"Image Pack, Video, Related Searches","0.11,0.05,0.16,0.16,0.16,0.34,0.16,0.16,0.30,0.16,0.20,0.20",90,,
br,lista de compra do mes,lista de compras,,,,,480,15,0.05,0.69,0,Informational,"Site Links, Video, Video Carousel, Related Searches, Image Pack","0.10,0.03,0.04,0.03,0.13,0.28,0.05,0.05,0.03,0.04,0.05,0.05",20,,
br,lista de compra supermercado,lista de compras,,,,,480,13,0.04,0.72,125000000,Informational,"Image Pack, Video, Video Carousel, Related Searches, See Results About","0.08,0.13,0.30,0.24,0.11,0.20,0.34,0.20,0.13,0.13,0.16,0.11",90,,
br,lista de compras basicas,lista de compras,,,,,480,18,0.04,0.63,116,Informational,"Image Pack, Video, Video Carousel, Related Searches, AI Overview","0.48,0.39,0.48,0.48,0.48,0.48,0.48,0.39,0.39,0.21,1.00,0.32",90,,
br,lista de compras básica,lista de compras,,,,,480,21,0.04,0.63,570000000,Informational,"Image Pack, Video, Video Carousel, Related Searches","0.08,0.10,0.27,0.27,0.27,0.08,0.10,0.10,0.08,0.07,0.10,0.07",90,,
br,lista de compras completa supermercado,lista de compras,,,,,480,12,0.05,0.76,27700000,Informational,"Image Pack, Site Links, Video, Related Searches","0.13,0.10,0.13,0.05,0.10,0.10,0.10,0.13,0.08,0.08,0.08,0.08",20,,
br,lista de compras de mercearia,lista de compras,,,,,480,18,0.00,0.75,193,Informational,"Image Pack, Site Links, Video, Related Searches, AI Overview","0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",20,,
br,lista de compras do mercado,lista de compras,,,,,480,12,0.06,0.81,447000000,Informational,"Video Carousel, Related Searches, Image Pack, Site Links, Video","0.04,0.05,0.07,0.08,0.05,0.10,0.07,0.13,0.05,0.04,0.08,0.04",20,,
br,lista de compras para casal,lista de compras,,,,,480,17,0.04,0.35,136000000,Informational,"AI Overview, Image Pack, Site Links, Video, Related Searches, Short Videos","0.16,0.13,0.13,0.13,0.13,0.10,0.10,0.10,0.08,0.10,0.10,0.08",20,,
br,lista de compras para mercado,lista de compras,,,,,480,15,0.04,0.58,107,Informational,"Image Pack, Site Links, Video, People Also Ask, Related Searches","0.07,0.05,0.08,0.08,0.08,0.07,0.07,0.08,0.07,0.08,0.10,0.07",20,,
br,lista de compras do mes,lista de compras,,,,,390,18,0.04,0.92,119,Informational,"Image Pack, Video, Related Searches","0.30,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.20,0.20,1.00,0.16",90,,
br,lista de compras do mês para 4 pessoas,lista de compras,,,,,390,19,0.00,0.33,195000000,Informational,"Video Carousel, People Also Ask, Related Searches, Short Videos, Image Pack, Video","1.00,0.66,0.44,0.54,0.54,0.81,0.54,0.44,0.36,0.36,0.44,0.81",90,,
br,lista de compras do supermercado,lista de compras,,,,,390,15,0.04,0.72,109000000,Informational,"Image Pack, Video, Related Searches, AI Overview","0.03,0.04,0.54,0.01,0.00,0.01,0.01,0.43,0.00,0.00,0.00,0.00",90,,
br,lista de compras mensal,lista de compras,,,,,390,17,0.05,0.66,40100000,Informational,"Related Searches, Image Pack, Site Links, Video","0.54,0.54,0.44,0.44,0.54,0.54,0.44,0.54,0.44,0.36,0.44,0.36",20,,
br,lista de compras no supermercado,lista de compras,,,,,390,21,0.03,0.34,198000000,"Informational, Transactional","Image Pack, Site Links, Video, Video Carousel, Related Searches","0.07,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.07,0.05,0.07,0.05",20,,
br,lista de compras para bebe,lista de compras,,,,,390,10,0.04,0.87,0,Informational,"Image Pack, Video, Video Carousel, Related Searches","0.31,0.20,0.20,0.16,0.11,0.20,0.20,0.20,0.16,0.13,0.20,0.13",90,,
br,lista de compras para copiar e colar,lista de compras,,,,,390,5,0.07,0.05,1590000,Informational,"Image Pack, Video, Related Searches, AI Overview","0.54,0.44,0.54,0.54,0.44,0.54,0.44,0.54,0.44,0.44,0.36,0.36",90,,
br,lista de compras para um casal,lista de compras,,,,,390,14,0.04,0.35,56100000,Informational,"Video Carousel, Related Searches, AI Overview, Image Pack, Site Links, Video","0.36,0.36,0.36,0.30,0.24,0.24,0.24,0.24,0.20,0.20,0.24,0.20",20,,
br,como fazer lista de compras,lista de compras,,,,,320,21,0.07,0.71,597000000,Informational,"Image Pack, Site Links, Video, Video Carousel, Related Searches","0.81,0.81,0.66,0.66,0.66,0.66,0.66,0.66,0.54,0.43,0.54,0.54",20,,
br,compra assistida rs lista de aprovados,lista de compras,,,,,320,12,0.00,0.00,88,Informational,"Video, Related Searches, AI Overview","0.00,0.00,0.00,0.11,0.11,1.00,1.00,0.48,0.32",90,,
br,comprar lista de contatos whatsapp,lista de compras,,,,,320,2,0.79,0.33,25000000,Informational,"Related Searches, AI Overview, Site Links, Video","0.30,0.08,0.20,0.20,0.10,0.24,0.30,0.24,0.36,0.10,0.10,0.03",20,,
br,lista de aniversario o que comprar,lista de compras,,,,,320,11,0.00,0.33,99,Informational,"People Also Ask, Related Searches, Image Pack, Site Links, Video","0.55,0.45,0.24,0.20,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01",20,,
br,lista de compras casal,lista de compras,,,,,320,24,0.04,0.35,0,Informational,"Site Links, Video, Video Carousel, Related Searches, AI Overview, Image Pack","0.30,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.20,0.24,0.30,0.20",20,,
br,lista de compras de casa,lista de compras,,,,,320,21,0.04,0.25,696000000,Informational,"Image Pack, Site Links, Video, Related Searches","0.82,1.00,0.82,0.82,1.00,0.82,1.00,1.00,0.82,0.82,0.82,0.53",20,,
br,lista de compras do mês completa,lista de compras,,,,,320,13,0.05,0.66,106,Informational,"Site Links, Video, Video Carousel, Related Searches, Image Pack","0.44,0.23,0.44,0.44,0.54,0.44,0.35,0.54,0.66,0.54,0.54,0.28",20,,
br,lista de compras para um bebe,lista de compras,,,,,320,19,0.04,0.87,60900000,Informational,"Image Pack, Video, Related Searches, AI Overview","0.48,0.39,0.32,0.26,0.26,0.21,0.26,0.26,0.21,0.14,0.17,0.17",90,,
br,modelo de lista de compras,lista de compras,,,,,320,28,0.07,0.60,103,Informational,"Image Pack, Video, Image, People Also Ask, Related Searches","0.66,0.54,0.54,0.44,0.54,0.54,0.54,0.44,0.44,0.44,0.44,0.35",90,,
br,lista basica de compras,lista de compras,,,,,260,21,0.04,0.63,119,Informational,"Image Pack, Video, Video Carousel, Related Searches","0.13,0.13,0.16,0.16,0.16,0.20,0.16,0.08,0.07,0.03,0.37,0.46",90,,
br,lista de compra em inglês,lista de compras,,,,,260,11,0.00,0.00,98,"Informational, Transactional","AI Overview, Image Pack, Video, Related Searches","0.29,0.36,0.29,0.23,0.19,0.15,0.23,0.23,0.15,0.09,0.12,0.19",90,,
br,lista de compras do bebe,lista de compras,,,,,260,14,0.04,0.87,123,Informational,"Video, Related Searches, Short Videos, AI Overview, Image Pack, Site Links","0.32,0.21,0.26,0.17,0.26,0.21,0.26,0.26,0.32,0.21,0.39,0.26",20,,
br,lista de compras do mes para casal,lista de compras,,,,,260,18,0.07,0.48,95,Informational,"Image Pack, Site Links, Video, People Also Ask, Related Searches, Short Videos, AI Overview","0.66,0.10,0.82,0.66,0.82,0.82,0.66,0.82,0.66,0.66,1.00,1.00",20,,
br,lista de compras do mês para casal,lista de compras,,,,,260,11,0.07,0.48,0,Informational,"Video Carousel, Related Searches, AI Overview, Image Pack, Video","0.66,0.66,0.43,0.35,0.54,0.81,0.43,0.54,0.54,0.54,1.00,0.54",90,,
br,lista de compras em ingles,lista de compras,,,,,260,13,0.00,0.00,118000000,"Informational, Transactional","Image Pack, Video, People Also Ask, Related Searches, AI Overview","0.29,0.36,0.36,0.29,0.19,0.29,0.29,0.23,0.29,0.15,0.19,0.29",90,,
br,lista de compras excel,lista de compras,,,,,260,8,0.09,0.05,45600000,"Informational, Transactional","Image Pack, Video, Video Carousel, Related Searches","0.36,0.23,0.29,0.19,0.23,0.29,0.29,0.29,0.19,0.19,0.19,0.15",90,,
br,lista de compras fitness,lista de compras,,,,,260,12,0.18,0.07,83900000,Informational,"Related Searches, Short Videos, AI Overview, Image Pack, Site Links, Video, Video Carousel, People Also Ask","0.24,0.20,0.20,0.16,0.16,0.13,0.24,0.24,0.16,0.08,0.20,0.16",20,,
br,lista de compras geladeira,lista de compras,,,,,260,23,0.08,0.96,19600000,Informational,"Site Links, Video, Video Carousel, Related Searches, AI Overview, Image Pack","1.00,0.66,0.66,0.43,0.66,0.66,0.66,0.66,0.53,0.43,0.66,0.43",20,,
br,lista de compras mercado para 2 pessoas,lista de compras,,,,,260,22,0.08,0.45,125,Informational,"People Also Ask, Related Searches, Image Pack, Video, Featured Snippet, Video Carousel","0.66,1.00,1.00,0.82,1.00,0.53,0.53,0.53,0.35,0.28,0.28,0.12",80,,
br,lista de compras no mercado,lista de compras,,,,,260,12,0.04,0.40,126000000,Informational,"Video, Video Carousel, Related Searches, Image Pack, Site Links","0.03,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.02,0.02",20,,
br,lista de compras para 2 pessoas,lista de compras,,,,,260,16,0.06,0.44,229000000,Informational,"Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack","0.24,0.20,0.16,0.16,0.20,0.20,0.13,0.10,0.10,0.10,0.10,0.08",90,,
br,lista de compras para geladeira,lista de compras,,,,,260,27,0.08,0.96,199,Informational,"Image Pack, Site Links, Video, Popular Products, Related Searches, Short Videos, AI Overview","0.82,0.66,0.66,0.53,0.66,0.66,0.82,0.66,0.53,0.43,0.66,0.43",20,,
br,lista de compras para praia 3 dias comida,lista de compras,,,,,260,12,0.00,0.01,123,Informational,"Image Pack, Video, Video Carousel, Related Searches, Short Videos, AI Overview","0.20,0.16,0.03,0.03,0.05,0.08,0.13,0.13,0.13,0.36,0.45,0.24",90,,
br,lista de compras para recem nascido,lista de compras,,,,,260,19,0.04,0.97,3790000,Informational,"Image Pack, Site Links, Video, Video Carousel, Related Searches, AI Overview","0.82,0.82,0.82,0.53,0.66,0.53,0.53,0.43,0.43,0.28,0.43,0.28",20,,
br,lista de recem nascido o que comprar,lista de compras,,,,,260,20,0.04,0.97,125,Informational,"Video, Video Carousel, Related Searches, AI Overview, Image Pack","0.82,0.82,0.82,0.53,0.53,0.43,0.53,0.43,0.43,0.28,0.35,0.35",90,,
br,lista mensal de compras,lista de compras,,,,,260,21,0.05,0.66,28900000,"Informational, Transactional","Video, Related Searches, Image Pack, Site Links","0.66,0.44,0.54,0.35,0.54,0.66,0.35,0.44,0.28,0.28,0.44,0.35",20,,
br,supermercado lista de compras,lista de compras,,,,,260,18,0.14,0.80,142000000,Informational,"Related Searches, Image Pack, Site Links, Video","0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.02,0.01,0.01",20,,
br,compras de mercado lista,lista de compras,,,,,210,22,0.07,0.54,244000000,Informational,"Image Pack, Site Links, Video, Related Searches","0.80,0.65,1.00,0.80,0.65,0.80,0.65,0.80,0.80,0.53,0.80,0.65",20,,
br,lista de compra supermercado completa,lista de compras,,,,,210,13,0.04,0.85,67200000,Informational,"Image Pack, Video, Related Searches","0.00,0.00,0.36,0.01,0.02,0.01,0.01,0.03,0.20,0.00,0.00,0.00",90,,
br,lista de comprar mercado,lista de compras,,,,,210,22,0.06,0.81,735000000,Informational,"Image Pack, Site Links, Video, People Also Ask, Related Searches","0.11,0.13,0.11,0.16,0.11,0.11,0.07,0.05,0.11,0.08,0.07,0.46",20,,
br,lista de comprar para bebe,lista de compras,,,,,210,21,0.04,0.87,846000000,Informational,"People Also Ask, Related Searches, AI Overview, Image Pack, Video","0.11,0.11,0.07,0.07,0.05,0.07,0.05,0.07,0.07,0.04,0.11,0.05",90,,
br,lista de compras 2 pessoas,lista de compras,,,,,210,15,0.06,0.44,226000000,Informational,"AI Overview, Site Links, Video, Video Carousel, People Also Ask, Related Searches","0.54,0.43,0.43,0.43,0.35,0.43,0.29,0.29,0.29,0.22,0.29,0.18",20,,
br,lista de compras de comida para levar para praia,lista de compras,,,,,210,9,0.00,0.02,14500000,Informational,"Image Pack, Video, Image, Video Carousel, Related Searches, Short Videos, AI Overview","0.23,0.10,0.04,0.03,0.07,0.12,0.23,0.29,0.36,0.67,0.81,0.15",90,,
br,lista de compras de mercado completa,lista de compras,,,,,210,9,0.05,0.58,158000000,Informational,"Related Searches, Image Pack, Video","0.53,0.53,0.53,0.53,0.65,0.81,0.53,0.65,0.65,0.81,1.00,0.81",90,,
br,lista de compras do mês para 3 pessoas,lista de compras,,,,,210,15,0.00,0.49,108,Informational,"Site Links, Video, Video Carousel, People Also Ask, Related Searches, Image Pack","1.00,0.53,0.28,0.43,0.28,0.35,0.53,0.53,0.53,0.43,0.82,1.00",20,,
br,lista de compras enxoval bebe,lista de compras,,,,,210,18,0.05,0.84,6440000,Informational,"Video, People Also Ask, Related Searches, Image Pack","0.66,0.43,0.66,0.43,0.35,0.43,0.43,0.43,0.35,0.28,0.43,0.35",90,,
br,lista de compras para abrir uma lanchonete,lista de compras,,,,,210,16,0.00,0.00,1190000,Informational,"Video Carousel, Related Searches, AI Overview, Image Pack, Video","0.82,0.53,0.53,0.53,0.53,0.35,0.43,0.35,0.28,0.28,0.35,0.28",90,,
br,lista de compras para duas pessoas,lista de compras,,,,,210,13,0.07,0.28,599000000,Informational,"Image Pack, Site Links, Video, Related Searches, Short Videos, AI Overview","0.54,0.54,0.54,0.43,0.29,0.35,0.35,0.35,0.35,0.22,0.35,0.29",20,,
br,lista de compras para enxoval do bebe,lista de compras,,,,,210,12,0.05,0.84,138,Informational,"Related Searches, Image Pack, Video","0.54,0.35,0.54,0.35,0.29,0.29,0.22,0.29,0.22,0.22,0.29,0.22",90,,
br,lista de compras para o enxoval do bebe,lista de compras,,,,,210,13,0.05,0.84,5510000,Informational,"AI Overview, Video, Video Carousel, People Also Ask, Related Searches","0.54,0.35,0.54,0.35,0.29,0.29,0.35,0.35,0.29,0.22,0.29,0.29",90,,
br,lista de compras supermercado completa para 2 pessoas,lista de compras,,,,,210,11,0.06,0.43,139,Informational,"Image Pack, Video, Related Searches","0.21,0.17,0.21,0.26,0.26,0.21,0.21,0.17,0.11,0.11,0.17,0.11",90,,
br,lista de o que comprar para o bebe,lista de compras,,,,,210,12,0.00,0.00,0,Informational,"Related Searches, AI Overview, Video","1.00,0.81,0.81,0.66,0.00,0.04,0.00,0.04,0.04,0.00,0.04,0.04",90,,
br,listas de compras de mercado,lista de compras,,,,,210,16,0.06,0.81,407000000,Informational,"Video, Video Carousel, People Also Ask, Related Searches, Image Pack, Site Links","0.35,0.82,0.66,0.43,0.43,0.53,0.53,0.43,0.43,0.43,0.82,0.82",20,,
br,listas de compras para casa,lista de compras,,,,,210,11,0.04,0.84,636000000,Informational,"Video, Related Searches, Image Pack, Site Links","0.13,0.13,0.13,0.13,0.13,0.20,0.16,0.16,0.13,0.16,0.24,0.16",20,,
br,amado batista lista de compras,lista de compras,,,,,170,22,0.00,0.00,682000,"Informational, Transactional","Related Searches, Short Videos, Knowledge Panel, Image Pack, Video, Featured Video, Image, Video Carousel","0.81,0.05,0.04,1.00,0.05,0.05,0.05,0.07,0.03,0.03,0.81,0.01",30,,
br,casal lista de compras supermercado,lista de compras,,,,,170,20,0.04,0.72,16600000,Informational,"Video, Video Carousel, Related Searches, Short Videos, AI Overview, Image Pack","0.43,0.53,1.00,0.35,0.43,1.00,0.66,0.00,0.00,0.00,0.53,0.00",90,,
br,genero textual lista de compras,lista de compras,,,,,170,25,0.00,0.00,109,Informational,"AI Overview, Image Pack, Video, Related Searches","0.66,0.53,0.53,0.43,0.28,0.43,0.53,0.53,0.35,0.10,0.10,0.23",90,,
br,lista de compra básica,lista de compras,,,,,170,17,0.04,0.63,127000000,Informational,"Video Carousel, Related Searches, Image Pack, Video","0.15,0.19,0.23,0.19,0.23,0.19,0.19,0.19,0.15,0.15,0.23,0.12",90,,
br,lista de compra do mercado,lista de compras,,,,,170,19,0.06,0.81,0,Informational,"Image Pack, Site Links, Video, Video Carousel, Related Searches, AI Overview","0.00,0.00,0.03,0.01,0.01,0.08,0.08,0.03,0.20,0.08,0.13,1.00",20,,
br,lista de compra mensal,lista de compras,,,,,170,11,0.05,0.66,37500000,Informational,"Image Pack, Video, Related Searches","0.29,0.29,0.66,0.43,0.54,0.35,0.43,0.43,0.29,0.43,0.35,0.54",90,,
br,lista de compra mercado completa,lista de compras,,,,,170,15,0.07,0.89,465000000,Informational,"Related Searches, Image Pack, Video, Video Carousel","0.65,0.34,0.53,0.42,0.65,0.80,0.34,0.53,0.53,0.65,0.80,0.53",90,,
br,lista de compras alimentos,lista de compras,,,,,170,16,0.03,0.45,144000000,Informational,"Image Pack, Video, Video Carousel, Related Searches","0.36,0.15,0.15,0.12,0.19,0.15,0.04,0.12,0.06,0.04,0.12,0.05",90,,
br,lista de compras completa de supermercado,lista de compras,,,,,170,11,0.12,0.53,44900000,Informational,"Image Pack, Video, Related Searches","0.54,0.54,0.66,0.14,0.14,0.10,0.08,0.29,0.35,0.43,0.29,0.14",90,,
br,lista de compras do mês para 2 pessoas quantidade,lista de compras,,,,,170,12,0.06,0.30,114000000,Informational,"AI Overview, Image Pack, Site Links, Video, Video Carousel, Related Searches","0.44,0.28,0.28,0.18,0.18,0.18,0.15,0.23,0.15,0.15,0.18,0.15",20,,
br,lista de compras para bebe enxoval,lista de compras,,,,,170,10,0.05,0.84,5260000,Informational,"Image Pack, Video, Related Searches, Short Videos","0.05,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.03",90,,
br,lista de compras para editar e imprimir,lista de compras,,,,,170,18,0.05,0.18,17100000,Informational,"Image Pack, Site Links, Video, Image, Related Searches","0.21,0.26,0.21,0.14,0.14,0.17,0.17,0.17,0.14,0.14,0.14,0.14",20,,
br,lista de compras saudaveis,lista de compras,,,,,170,9,0.12,0.18,11800000,Informational,"AI Overview, Image Pack, Video, Video Carousel, Related Searches, Short Videos","0.04,0.04,0.24,0.11,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00",90,,
br,modelo de lista de compra,lista de compras,,,,,170,28,0.07,0.60,0,Informational,"Image, Video Carousel, Related Searches, Image Pack, Video","0.15,0.11,0.18,0.11,0.15,0.81,0.28,0.35,0.81,0.44,0.66,1.00",90,,
br,modelos de lista de compras,lista de compras,,,,,170,26,0.07,0.60,136,Informational,"Image Pack, Site Links, Video, Image, People Also Ask, Related Searches","0.17,0.28,0.43,0.66,0.66,0.23,1.00,0.53,0.17,0.35,0.28,0.28",20,,
